perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3.6_months_late,Count_6.12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
0.533,14970,312630,0,0,2,99.64,13,C,Rural,34800,1
0.03,19723,264090,0,0,0,99.71,10,A,Urban,11700,1
0.046,28850,72150,0,0,0,99.6,8,B,Rural,7500,1
0.043,27019,159060,0,0,0,99.05,20,B,Urban,3300,1
0.293,20450,150130,0,0,0,98.31,13,A,Rural,1200,1
0.336,24095,234050,0,0,0,99.29,10,B,Urban,11700,1
0.009,27017,75140,0,0,0,99.89,5,A,Urban,5400,1
0.124,22639,81690,0,0,0,98.1,15,A,Rural,3300,1
0,16800,377940,0,0,0,99.42,9,D,Rural,15900,1
0.026,22271,356210,0,0,0,99.33,14,B,Urban,24300,1
0.006,21912,96490,0,0,0,99.13,15,A,Urban,3300,1
0.221,28841,58840,0,0,0,99.12,13,A,Urban,3300,1
0.746,10590,126630,1,3,0,99.74,4,A,Urban,3300,1
0.001,17528,420090,0,0,0,99.13,12,B,Rural,22200,1
0.203,18255,315120,0,0,0,99.71,6,B,Urban,9600,1
0.234,18265,210030,0,1,0,99.25,9,A,Rural,18000,1
0.098,24105,225070,0,0,0,99.16,13,A,Rural,1200,1
0.702,21180,629590,0,0,0,99.88,5,A,Urban,28500,1
0.103,11320,135040,0,0,0,99.86,5,A,Rural,11700,1
0,14244,125050,0,0,0,99.77,7,A,Urban,1200,1
0.046,31039,305540,0,0,0,99.66,12,A,Rural,11700,1
0.177,17165,360150,0,0,0,99.77,12,B,Urban,11700,1
0.62,14973,117690,0,0,0,99.89,4,B,Urban,9600,0
0.029,17526,213060,0,1,1,98.8,8,C,Urban,20100,1
0.129,18264,303120,0,0,0,99.49,14,A,Rural,15900,0
0.01,23005,177140,0,0,0,99.15,21,A,Urban,9600,1
0.301,18622,260050,0,0,0,98.87,17,A,Urban,18000,1
0.066,23009,90080,0,0,0,98.97,13,A,Rural,1200,1
0,14979,127360,0,0,0,99.39,8,C,Rural,1200,1
0.038,17534,297570,0,0,0,99.32,10,C,Urban,22200,1
0.511,14970,226450,0,0,0,99.26,14,E,Urban,20100,1
0.128,20446,324130,0,0,0,99.07,16,C,Urban,22200,1
0,13510,280270,0,0,0,99.2,8,C,Urban,11700,0
0.804,9137,84050,0,0,1,99.73,7,A,Urban,5400,1
0.113,18624,420030,0,0,0,99.48,14,D,Rural,28500,1
0.184,25930,144110,0,0,0,99.25,8,A,Urban,5400,1
1,18265,81130,1,1,1,97.68,4,E,Rural,3300,0
0.637,9868,162150,0,0,0,99.49,11,B,Urban,7500,1
0.017,22639,170140,0,0,0,99.89,9,A,Urban,1200,1
0.165,14241,90080,0,0,0,99.42,14,A,Urban,3300,1
0.013,17892,281480,0,0,0,99.6,9,B,Rural,13800,1
0.834,10956,90040,0,0,0,99.4,6,A,Rural,7500,1
0.318,20089,172040,0,0,0,98.91,16,C,Rural,15900,1
0.158,8409,39060,0,0,0,99.88,3,A,Urban,5700,1
0.758,13146,267130,0,0,0,99.18,8,A,Urban,20100,1
0.025,23737,149080,0,0,0,99.22,8,A,Rural,1200,1
0.84,12790,30140,0,0,0,99.7,5,A,Urban,1200,1
0.002,19717,425060,0,0,0,99.55,10,B,Urban,26400,1
0.006,21915,36080,0,0,0,97.17,10,A,Urban,5700,1
0.074,13885,150030,0,0,0,98.55,11,A,Urban,7500,1
0.657,10956,97340,1,1,0,99.39,6,A,Rural,7500,0
0.054,15336,246060,0,0,0,99.52,7,B,Rural,7500,1
0,25556,207050,0,0,0,99.14,6,B,Rural,11700,1
0.819,10600,60080,0,0,0,98.5,7,A,Urban,3300,1
0.591,21912,192170,0,0,0,98.42,12,A,Rural,3300,1
0.174,11691,198100,0,0,0,99.27,7,C,Rural,1200,1
0.047,15342,300150,0,0,0,99.33,12,C,Urban,9600,1
0.051,21541,555730,0,0,0,99.17,14,B,Rural,24300,1
0.067,25196,154310,0,0,0,98.94,16,B,Urban,15900,1
0.963,14608,283580,0,0,0,98.74,14,E,Urban,11700,1
0.849,15705,198100,0,0,0,98.99,9,C,Rural,9600,0
0.278,13511,260050,0,0,0,97.07,12,B,Urban,11700,1
0.007,20081,145360,0,0,0,98.82,25,B,Urban,11700,1
0.806,17535,156090,2,1,2,98.6,9,A,Rural,5400,1
1,8765,30040,0,0,0,NA,2,A,Urban,1200,1
0.048,9865,138840,0,0,0,99.84,10,A,Urban,9600,1
0.023,26286,111840,0,0,0,99.88,4,A,Rural,5400,1
0.44,10962,120040,0,0,0,99.61,7,A,Urban,9600,0
0.78,29214,237560,0,0,0,98.63,12,A,Rural,9600,1
0.164,27018,210110,0,0,0,99.2,14,A,Rural,9600,1
0.597,15340,99120,0,0,0,99.16,5,B,Urban,7500,1
0.445,10956,95070,1,2,0,99.28,11,A,Urban,5400,0
0.695,21910,527890,0,0,1,98.79,13,A,Urban,34800,1
0.023,18259,269040,0,0,0,99.41,9,D,Rural,9600,1
0.06,16440,180080,0,0,0,99.88,4,C,Urban,11700,1
0.012,21546,101620,0,0,0,99.64,20,A,Urban,5400,1
0.122,21909,390070,0,0,0,99.69,8,A,Rural,15900,1
0.008,25198,180140,0,0,0,99.62,8,B,Urban,7500,1
0.182,13152,228230,0,0,0,99.06,11,A,Urban,11700,1
0.32,14612,180090,0,0,0,98.97,7,C,Urban,3300,1
0.087,10956,129120,0,0,0,99.32,8,B,Urban,11700,1
0.418,9135,76680,1,0,0,99.3,7,A,Rural,5400,1
0,12050,51070,0,0,0,NA,5,A,Urban,3300,1
0.002,22270,93570,0,0,0,99.39,7,A,Urban,7500,1
0.002,18256,150110,0,0,0,98.74,10,D,Urban,9600,1
0.144,20446,118830,1,0,0,98.21,30,A,Urban,7500,1
0.03,18994,68670,0,0,0,99.69,8,A,Rural,1200,1
0.057,14974,129110,0,0,0,98.14,9,C,Urban,9600,1
0.018,29939,127160,0,0,0,99.76,8,A,Urban,7500,1
0.022,14249,112610,0,0,0,99.45,12,A,Rural,1200,1
0.045,20085,204080,0,0,0,98.78,12,D,Urban,13800,1
0.494,23739,199530,0,0,0,98.4,12,A,Urban,13800,1
0.01,17896,70320,0,0,0,99.88,10,A,Urban,5400,1
0.772,23000,188880,0,0,0,98.11,18,A,Rural,9600,1
0.143,20085,117150,1,0,0,98.06,24,B,Rural,7500,1
0.451,10594,219540,0,0,0,99.73,10,C,Rural,11700,1
0.601,21181,164270,0,0,0,99.06,6,A,Urban,9600,1
1,9500,151490,2,2,0,99.71,3,A,Rural,9600,0
0.329,10961,300070,0,0,0,98.96,15,B,Urban,20100,1
0.092,25560,274500,0,0,0,99.57,11,A,Urban,3300,1
0.063,18987,440080,0,0,0,99.29,17,E,Urban,51600,1
0.71,17526,61230,0,0,0,97.87,13,A,Urban,3300,1
0.913,18995,72090,0,0,0,99.34,8,A,Rural,5700,0
0,10599,66080,1,0,0,NA,7,A,Urban,5400,1
0,20816,201100,0,0,0,99.11,9,B,Urban,9600,1
0.203,14980,246080,0,0,0,99.04,8,A,Urban,9600,1
0.974,21908,108540,0,0,0,99.47,5,A,Rural,7500,1
0.7,9864,82280,1,0,0,99.34,11,A,Rural,3300,1
1,11327,54110,0,0,0,99.54,2,A,Rural,1200,1
0.165,20819,180150,1,0,0,99.57,9,A,Urban,9600,1
0.098,20086,450030,0,0,0,99.23,9,C,Rural,39000,1
0.458,20082,120040,0,0,0,97.72,12,A,Urban,5400,1
0.281,12418,42120,0,0,0,96.02,7,D,Rural,1200,1
1,19716,174070,0,2,1,99.4,6,C,Rural,20100,1
0,20451,181000,2,0,0,98.79,18,D,Urban,18000,1
0.209,22642,265110,0,0,0,98.98,11,A,Rural,20100,1
0.018,18991,385060,0,0,0,99.32,11,C,Urban,32700,1
0.133,21907,183700,0,0,0,98.9,18,A,Rural,7500,1
0.944,24103,150080,0,1,1,98.62,11,A,Urban,9600,1
0.002,24470,255050,0,0,0,99.41,9,A,Rural,26400,1
0.211,28476,90050,0,0,0,99.09,10,A,Urban,5700,1
0.072,33230,300070,0,0,0,99.89,8,B,Urban,20100,1
0.032,8773,49540,0,0,0,99.54,9,A,Urban,5700,1
0.044,24099,238100,0,0,0,99.67,10,A,Urban,11700,1
0.773,10594,180050,0,0,0,98.85,14,A,Urban,11700,1
0.958,13876,125120,0,0,0,97.54,9,A,Rural,9600,1
1,9503,123140,0,0,0,99.86,3,B,Urban,7500,1
0.661,21913,307020,1,0,0,99.29,13,A,Urban,13800,1
0.492,18629,132630,0,0,0,98.44,10,C,Rural,5400,1
0.132,13511,1843880,0,0,0,99.87,9,C,Rural,60000,1
0.364,15704,276970,0,0,0,99.72,8,B,Rural,22200,1
0.839,22637,215090,1,0,0,98.96,7,A,Urban,11700,0
1,11685,112350,0,0,0,99.72,3,A,Urban,5400,1
0.052,19720,600070,0,0,0,99.47,10,A,Rural,18000,1
0.048,19715,300090,0,0,0,99.33,15,A,Rural,15900,1
0.76,13881,233370,0,0,0,98.47,16,D,Urban,7500,1
0.295,15339,202570,0,0,0,98.72,10,A,Urban,9600,1
0.476,22645,418010,0,0,0,99.28,20,B,Urban,22200,1
0.788,14612,188790,0,0,0,97.13,11,B,Rural,7500,1
0.558,17534,75090,3,0,2,99.15,12,B,Urban,3300,1
0.468,18628,358570,0,0,0,99.58,13,D,Urban,24300,1
0.209,20452,165140,3,0,0,99.22,13,B,Rural,13800,1
0.095,25191,120150,0,0,0,98.46,10,A,Urban,7500,1
0.854,14241,294090,0,0,0,98.93,16,C,Urban,20100,1
0.624,23008,233550,1,0,0,99.49,6,B,Rural,18000,1
0.133,23740,121600,1,0,0,99.4,21,B,Urban,13800,1
0.542,14248,285090,0,0,0,98.33,20,E,Urban,15900,1
0.162,18987,120120,0,0,0,99.12,20,A,Rural,5400,1
0.432,20087,469310,0,0,0,99.35,12,E,Urban,28500,1
0.093,16805,312060,0,0,0,99.85,6,C,Urban,13800,1
1,11326,87120,0,0,0,99.7,4,B,Urban,5400,1
0.437,18627,249130,0,0,0,99.33,9,D,Urban,13800,1
0.352,19355,451530,0,0,0,99.32,18,A,Rural,5400,1
0.477,14970,69120,0,0,0,99.57,7,A,Rural,5400,1
0.519,12786,175640,0,0,0,98.84,9,D,Urban,15900,1
0.768,12051,114120,0,0,0,98.13,11,C,Rural,5700,1
0.014,13518,71630,1,0,0,98.88,8,B,Urban,7500,1
0.902,17899,158660,0,1,0,98.69,7,C,Rural,18000,0
0.324,14249,316530,0,0,0,98.87,12,A,Urban,5400,1
0.711,18991,112900,0,0,0,97.18,13,C,Urban,5400,0
0.15,21909,286900,0,0,0,99.81,8,A,Rural,13800,1
0.04,15710,275070,0,0,0,99.63,11,D,Urban,28500,1
0.13,18262,99100,0,0,0,98.73,16,A,Urban,9600,0
0.958,20451,120040,0,0,0,99.09,11,B,Urban,13800,0
0.044,32859,105040,0,0,0,99.86,10,A,Rural,3300,1
0.002,26294,159390,0,0,0,99.88,5,A,Rural,3300,1
0.002,28118,195090,0,0,0,99.43,6,A,Urban,13800,1
0.013,21179,458600,0,0,0,99.17,19,A,Urban,34800,1
0.092,17533,240060,0,0,0,99.43,8,A,Urban,7500,1
0.362,12052,293850,0,0,0,99.89,3,D,Urban,13800,0
0,17528,139300,2,0,1,98.63,12,B,Urban,5400,0
0,8769,75030,0,0,0,NA,3,A,Rural,3300,1
0.842,14615,126130,0,0,0,98.89,18,B,Rural,5400,1
0.163,17894,270110,0,0,0,98.28,18,C,Urban,13800,1
0.143,18625,459330,0,0,0,99.37,21,D,Rural,26400,1
0.066,23738,1012630,0,0,0,98.9,13,C,Urban,51600,1
0.088,15341,204130,0,0,0,98.97,15,C,Urban,11700,1
1,11689,109550,0,0,0,98.92,10,B,Urban,11700,1
0.784,18629,256210,0,0,0,99.07,5,C,Urban,15900,1
0.027,25561,75070,0,0,0,97.32,18,A,Urban,3300,1
0.001,18994,279640,0,0,0,99.59,17,B,Urban,13800,1
0.175,19718,315050,0,0,0,99.15,11,C,Urban,24300,1
0.815,30300,90550,0,0,0,99.49,5,A,Rural,3300,1
0.01,28848,138090,0,0,0,99.88,8,A,Urban,7500,1
0.19,18263,7122030,0,0,0,99.86,12,D,Urban,60000,1
0.632,16435,180140,0,0,0,98.17,8,D,Rural,13800,1
0.113,15704,225110,0,0,0,99.07,16,E,Urban,24300,1
0.454,20448,216140,0,0,0,98.88,17,C,Urban,24300,1
0.005,16068,67730,0,0,0,99.89,7,B,Urban,3300,1
0.068,25196,250030,0,0,0,99.88,8,A,Rural,1200,1
0.462,19356,176210,1,0,0,99.02,18,B,Urban,9600,1
0.116,17166,151840,0,0,0,99.17,14,C,Rural,5400,1
0.237,26286,478870,0,0,0,99.14,27,B,Rural,13800,1
0.023,17535,200590,0,0,0,99.47,15,A,Rural,15900,1
0.068,26286,107050,0,0,0,99.25,5,A,Urban,5400,1
0.601,15335,223780,0,0,0,99.1,14,A,Rural,9600,1
0.013,24463,285610,0,0,0,99.41,11,A,Urban,22200,1
0.049,20082,130370,0,0,0,99.15,9,A,Urban,7500,1
0.873,17163,157590,0,0,0,97.63,13,D,Urban,5400,1
0.915,17530,78060,1,0,7,98.4,10,A,Urban,3300,0
0.015,19715,210100,0,0,0,99.75,6,A,Rural,11700,1
0.745,18623,111120,0,0,0,99.43,8,A,Urban,7500,1
0.002,16067,171030,0,0,0,98.88,11,C,Urban,15900,1
0.232,14248,154210,0,0,0,99.52,8,C,Urban,9600,1
0.061,24101,360060,1,0,0,99.31,25,A,Urban,28500,1
0.101,12418,312590,0,0,1,99.73,11,B,Rural,11700,1
0.29,17898,363380,0,0,0,99.23,13,D,Urban,13800,1
0.038,15708,64460,0,0,0,99.51,8,A,Urban,5400,1
0.107,12056,143130,0,0,0,98.65,10,B,Rural,5400,1
0,19724,220110,0,0,1,99.75,7,A,Urban,15900,1
0.843,11688,120080,2,0,0,99.66,5,A,Urban,7500,1
0.218,19723,90720,0,0,0,99.15,7,B,Urban,5400,0
0.037,20090,90060,0,0,0,99.81,14,B,Urban,3300,1
0.022,28484,103500,0,0,0,99.53,12,B,Urban,5700,1
0.055,19715,275040,0,0,1,99.44,42,A,Urban,30600,1
0.809,14612,140050,1,0,0,98.06,9,D,Urban,5400,0
0.019,23375,394940,0,0,0,99.89,7,B,Rural,3300,1
0.113,20445,249070,0,0,0,97.67,12,A,Urban,3300,1
0.936,10957,180070,0,0,0,99.14,9,A,Rural,7500,1
0.001,13155,281520,0,0,0,99.53,13,C,Rural,9600,1
0.183,16799,135050,0,0,0,97.47,10,A,Urban,9600,1
0.794,19720,60080,1,0,0,99.41,7,B,Urban,3300,1
0.659,16430,120070,0,0,0,98.55,15,D,Urban,7500,1
0.25,19356,297110,0,0,0,99.33,12,A,Urban,15900,1
1,11320,126650,0,0,0,99.72,4,B,Rural,9600,0
0.018,15705,72140,0,0,0,98.24,10,C,Rural,5400,1
0,12424,117570,0,0,0,97.71,6,A,Urban,7500,1
0.053,16065,377050,0,0,0,99.89,7,A,Urban,24300,1
0.006,19723,216060,0,0,0,NA,10,A,Urban,15900,1
0.209,16800,172280,0,0,0,98.77,16,C,Rural,15900,1
0.404,10231,24140,1,0,0,97.66,10,A,Rural,1200,1
0.75,17526,180120,3,0,0,98.8,10,A,Rural,1200,1
0.263,21906,400030,0,0,0,99.03,22,B,Rural,18000,1
0.009,16796,285070,0,0,0,99.31,10,D,Rural,32700,1
0.083,23009,312600,1,0,0,99.26,6,D,Urban,22200,1
0.829,20816,69580,0,0,0,99,5,A,Rural,5400,0
0.781,9870,84100,0,0,0,99.49,9,A,Rural,5400,1
0.072,23367,105070,0,0,0,99.38,15,B,Urban,9600,1
0.084,20087,300100,0,0,0,98.99,11,C,Urban,1200,1
0.485,14973,249660,0,0,0,99.67,5,D,Urban,11700,1
0.001,15710,120530,0,0,0,NA,8,C,Rural,1200,1
0.065,24103,146760,0,0,0,99.85,9,B,Urban,5400,1
0,20816,237100,0,0,0,NA,5,A,Urban,15900,1
0.027,23003,175130,0,0,0,99.63,9,B,Urban,9600,1
0.005,17163,125070,0,0,0,97.8,12,A,Urban,11700,1
0.07,18994,383120,0,0,0,99.49,10,D,Urban,39000,1
0,23003,78040,0,0,0,99.78,5,B,Rural,3300,1
0.071,14605,228130,0,0,0,98.84,10,E,Rural,18000,1
0.195,13884,125100,0,0,0,99.41,10,B,Urban,7500,1
0.228,22275,187650,1,0,0,98.71,15,A,Urban,18000,1
0.226,16797,317550,0,0,0,98.99,17,D,Rural,30600,1
0.864,20810,439680,0,0,0,99.19,11,A,Rural,1200,1
0.637,14242,97610,0,0,0,98.39,15,C,Urban,9600,1
0.069,12053,300150,0,0,0,99.73,12,A,Rural,7500,1
0.06,18259,366080,0,0,0,99.6,10,B,Urban,36900,1
0.007,19715,324080,0,0,0,99.16,11,B,Urban,36900,1
0.123,18993,201070,0,0,0,98.99,13,D,Rural,9600,1
0.741,10231,57920,1,0,0,99.85,3,A,Urban,3300,0
0.022,24833,132100,0,0,0,99.29,8,A,Urban,11700,1
1,20814,124600,0,0,0,98.86,11,A,Urban,9600,1
0.171,9863,145600,0,0,0,99.67,13,A,Urban,7500,1
0,23737,89250,0,0,0,NA,4,A,Urban,3300,1
0.193,26290,332680,0,0,0,99.03,15,D,Urban,15900,1
1,16801,346280,0,0,0,99.04,7,C,Urban,26400,1
1,23368,41690,0,0,0,97.92,4,A,Rural,5700,1
0.287,20810,232640,0,0,0,99.13,11,A,Rural,24300,1
0.546,13145,228120,0,0,0,97.18,14,A,Urban,20100,0
1,14248,156120,0,2,0,NA,2,B,Urban,7500,0
0.103,24461,100560,0,0,0,98.25,20,A,Urban,1200,1
0.823,20446,46870,0,0,0,97.73,6,A,Rural,5400,1
0.371,18985,286650,0,0,0,99.22,13,A,Urban,22200,1
0.278,18987,332590,2,0,0,99.46,14,A,Urban,26400,1
0.968,14241,102030,0,0,1,99.48,7,C,Rural,1200,1
0.058,25198,104620,0,0,0,98.61,13,A,Urban,9600,1
0.055,14612,231130,0,0,0,99.58,6,D,Rural,11700,1
0.431,27381,53680,0,0,0,98.12,10,A,Rural,3300,1
0,24833,150140,0,0,0,99.67,8,A,Urban,3300,1
0.097,23007,180120,0,0,0,99.07,9,B,Urban,3300,1
1,9860,111030,0,0,0,99.67,6,A,Rural,3300,1
0.918,18992,75120,2,0,0,99.3,6,A,Urban,9600,1
0.369,23731,172290,0,0,0,98.92,9,A,Urban,5400,1
0.038,22642,135090,0,1,0,97.74,27,A,Urban,7500,1
1,30303,90080,0,1,0,NA,4,A,Rural,3300,1
0.004,10961,203380,0,0,0,NA,4,D,Urban,13800,1
0.289,13510,225110,0,0,0,98.33,10,A,Rural,18000,1
0,24101,27030,0,0,0,99.16,6,A,Urban,5700,0
0.026,23733,159050,0,0,0,99.89,5,C,Rural,18000,1
1,9862,47550,0,0,0,99.87,3,B,Rural,3300,0
0.009,23004,225420,1,0,0,99.07,26,B,Urban,13800,1
0.092,17165,240040,0,0,0,98.79,7,B,Urban,5400,1
0.018,17169,186760,0,0,0,98.23,32,C,Rural,5400,1
0.005,18622,296440,0,0,0,99.38,17,C,Urban,18000,1
0.196,25193,162090,0,0,0,99.59,7,A,Rural,7500,1
0.411,21178,90140,0,0,0,99.8,8,A,Urban,5700,1
0.184,24461,43610,0,0,0,99.45,11,B,Rural,5400,1
0.953,10600,375080,2,0,0,98.77,14,A,Urban,22200,1
0.102,24826,125070,1,0,0,99.14,16,A,Urban,1200,1
0.978,16438,131070,0,0,0,99.77,10,B,Urban,7500,1
1,23735,65050,1,1,0,98.69,3,A,Rural,5700,1
0.385,25925,261070,0,0,0,99.11,9,A,Rural,18000,1
0.546,26659,102060,0,0,0,98.31,10,D,Rural,5400,1
0,28112,293410,1,0,0,99.37,9,A,Rural,11700,1
0.022,16430,236190,0,0,0,99.73,10,D,Urban,13800,1
0.802,18624,30090,0,0,0,96.76,6,A,Urban,1200,1
0.863,12416,96560,0,0,0,99.5,6,B,Urban,7500,1
0.012,21540,214110,0,1,0,99.42,18,C,Rural,7500,1
0.085,25561,228150,0,0,0,99.02,18,B,Urban,13800,1
0.034,24834,150040,0,0,0,98.66,8,A,Urban,7500,1
0.133,13880,240130,1,0,0,98.66,7,C,Urban,13800,1
0.575,20452,1041030,1,0,0,98.91,10,B,Urban,24300,1
0.474,18990,185050,0,0,0,98.93,8,A,Urban,11700,1
0.054,11695,290140,0,0,0,99.3,6,A,Urban,13800,1
0.026,10956,120090,0,0,0,99.89,6,A,Urban,5400,1
0.243,26289,108240,0,0,0,99.59,4,B,Urban,5400,1
0.064,18630,431400,1,0,1,99.11,15,A,Urban,20100,1
0,16070,45070,0,0,0,99.47,12,B,Urban,5700,1
0,17533,147130,0,0,0,99.6,5,B,Urban,9600,1
0.207,20082,135120,0,0,0,98.11,10,A,Urban,7500,1
0.046,10965,130330,0,0,0,99.88,4,C,Urban,9600,1
1,10963,36130,0,3,0,98.82,3,A,Rural,5700,0
0.388,23733,230670,0,0,0,98.54,14,A,Urban,11700,1
0.493,20081,232610,2,0,0,97.99,15,A,Urban,3300,1
0.469,20451,1800120,0,0,0,99.6,24,D,Rural,11700,1
0.463,21915,202490,1,0,0,98.85,10,A,Urban,11700,1
0.322,19357,364540,0,0,0,99.74,6,D,Rural,20100,1
0.113,17166,112570,0,0,0,99.65,18,A,Rural,5400,1
1,16799,81510,0,0,0,98.87,7,D,Rural,3300,1
0,9132,24640,0,0,0,98.44,5,A,Urban,5700,1
1,17529,147090,0,0,0,99.86,2,B,Rural,1200,0
0.392,14240,218120,0,0,0,97.96,14,A,Rural,9600,1
0.263,15707,240060,0,0,0,99.15,12,B,Urban,18000,1
0.966,17167,274560,0,0,0,98.94,11,A,Urban,9600,1
0.301,20083,125300,0,0,0,98.86,11,A,Rural,5400,1
0.303,21544,257620,0,0,0,99.06,25,C,Urban,13800,1
1,12418,24030,0,0,0,NA,3,A,Rural,1200,1
0.014,16438,246120,0,0,0,99.71,8,C,Urban,20100,1
0.44,10595,78050,0,0,0,99.25,10,C,Urban,3300,1
0,8404,27010,0,0,0,NA,4,A,Urban,3300,1
0.489,17532,153110,0,0,0,99.44,6,D,Rural,3300,1
1,9861,42030,0,1,0,99.33,3,B,Urban,3300,1
0.178,23368,190580,0,0,0,99.81,8,B,Urban,7500,1
0.248,14614,360040,0,0,0,99.51,10,A,Urban,3300,1
0.946,16439,204080,0,0,0,99.58,24,D,Urban,11700,1
0.122,8765,98130,0,0,0,98.19,9,A,Rural,5700,1
0.055,15701,105150,0,0,0,97.98,15,C,Urban,7500,1
0.3,24833,197080,0,0,0,97.84,15,B,Rural,9600,1
0.138,22644,162090,0,0,0,99.54,7,A,Urban,11700,1
0.1,24467,88180,0,0,0,99.19,6,A,Rural,11700,1
0.049,16440,162530,0,0,0,99.67,6,A,Urban,13800,1
0.032,25555,178800,0,0,0,99.78,11,A,Rural,9600,1
0.083,22636,450080,0,0,0,99.67,9,D,Urban,11700,1
0.084,15344,200900,0,0,0,98.84,28,D,Rural,3300,1
0.123,21908,180070,0,0,0,99.82,7,A,Urban,7500,1
0.005,25192,315120,0,0,0,99.71,13,A,Urban,24300,1
0.005,28845,47060,0,0,0,99.87,23,A,Urban,3300,1
0.01,29209,120150,0,0,0,99.81,8,A,Rural,5400,1
1,10600,90150,0,0,0,99.53,4,A,Rural,5400,1
0.069,27390,510080,0,0,0,99.58,10,C,Urban,3300,1
0.558,24828,442610,0,0,0,98.87,18,B,Urban,43200,0
0.14,20819,204860,0,0,0,99.05,8,A,Rural,18000,1
0.053,24102,307620,0,0,0,99.54,5,B,Rural,3300,1
0.014,23738,447800,0,0,0,99.76,13,B,Rural,34800,1
0.996,17167,300150,3,5,4,99.02,7,D,Urban,9600,0
0.342,16800,300110,0,0,0,98.57,19,C,Urban,18000,1
0.1,15705,265120,0,0,0,99.16,5,C,Urban,22200,1
0.021,21176,570150,0,0,0,99.3,15,A,Rural,57900,1
0,26652,180130,0,0,0,99.49,11,A,Rural,15900,1
0.004,26659,103330,0,0,0,99.86,6,A,Urban,5400,1
1,16804,129650,0,0,0,99.13,8,C,Urban,7500,1
0,24827,81320,0,0,0,98.63,10,A,Urban,5400,1
0.039,23736,70080,0,0,0,95.17,8,A,Urban,3300,1
0.189,23002,165070,0,0,0,98.87,16,A,Urban,1200,1
1,22272,66050,0,0,0,99.5,4,C,Urban,3300,1
0.042,20811,48150,0,0,0,99.28,7,A,Urban,5700,1
0.837,17893,457570,0,0,2,99.3,15,D,Urban,24300,1
0.138,13883,74580,4,0,0,99.83,11,A,Urban,5400,1
0.665,17897,345300,0,0,0,98.81,18,B,Rural,45300,1
0.084,28481,65100,0,0,0,97.89,13,A,Rural,7500,1
0,18628,114050,0,0,0,99.66,7,A,Urban,7500,1
0.011,12422,109230,0,0,0,99.89,5,A,Urban,7500,1
0.072,22639,209150,0,0,0,99.48,10,A,Rural,22200,1
0.033,19724,206160,0,0,0,99.66,17,B,Rural,13800,1
0.001,10596,91320,0,0,0,98.94,9,A,Rural,11700,1
0.498,21542,187600,0,0,0,98.59,17,C,Rural,3300,1
0.576,23732,60060,0,0,0,98.94,11,A,Urban,5700,1
0.2,26290,156190,0,0,0,99.73,9,A,Rural,18000,1
0,18623,78630,0,0,0,99.64,4,E,Urban,1200,1
0.007,11329,196150,0,0,0,99.76,6,B,Rural,15900,1
0.357,18990,135660,0,0,0,99.52,7,D,Urban,1200,1
0.27,23370,144090,5,1,0,98.52,19,A,Urban,7500,0
1,19350,198050,0,0,0,NA,2,D,Urban,7500,1
0.444,10962,45110,0,0,0,99.22,7,A,Rural,3300,1
0.526,11690,133570,0,0,0,99.58,6,C,Urban,9600,1
0.331,18621,154620,4,0,1,99.41,5,B,Urban,13800,0
0.006,23010,116900,0,0,0,99.76,11,A,Rural,7500,1
0.125,26659,150050,0,0,0,99.66,11,A,Urban,13800,1
0.949,20816,80370,1,0,0,97.73,18,B,Rural,1200,1
0.036,23738,68130,0,0,0,99.61,11,A,Urban,5700,1
0.11,10597,30100,0,0,0,98.12,11,A,Rural,1200,1
0.055,18260,153040,0,0,0,98.82,9,C,Rural,13800,1
0.02,23367,480150,0,0,0,99.69,15,B,Urban,41100,1
1,20455,120090,0,0,0,98.88,8,C,Urban,3300,1
0.781,21184,34200,5,0,2,96.57,7,D,Urban,1200,0
0.574,15710,176080,0,0,0,97.77,15,D,Urban,9600,1
1,11694,110190,0,0,0,98.99,8,A,Rural,3300,1
0.037,12417,208670,0,0,0,99.72,10,A,Urban,11700,1
0.192,14250,66330,0,0,0,98.43,11,A,Urban,5400,1
0.252,15339,164250,0,0,0,99.29,10,C,Urban,13800,1
0.049,14246,68320,0,0,0,98.94,8,A,Urban,3300,1
0.95,12415,52650,0,0,0,99.63,7,B,Urban,5400,1
0.881,19359,205600,0,0,0,98.16,10,C,Rural,7500,1
0.54,13153,295110,0,0,0,98.55,16,B,Rural,1200,1
0.011,33230,212540,0,0,0,NA,5,A,Urban,20100,1
0.488,16433,164720,0,0,0,99.22,10,C,Urban,7500,1
0.104,18623,201070,0,0,0,99.14,12,C,Urban,11700,1
0.376,16068,172780,0,0,0,98.65,12,C,Urban,9600,1
0.087,17896,277560,0,0,0,99.36,12,A,Urban,26400,1
0.081,13885,300110,0,0,0,99.28,12,A,Rural,7500,1
0.49,20812,421090,0,0,0,98.99,20,A,Urban,28500,1
0.073,14973,191980,0,0,0,99.2,5,C,Urban,11700,1
0.059,25559,174590,0,0,0,99.86,5,A,Urban,7500,1
0.363,17531,145030,1,0,0,98.45,11,A,Urban,1200,1
0,14243,120090,1,0,0,97.62,12,A,Urban,1200,1
0.115,13519,147550,0,0,0,99.25,7,C,Rural,11700,1
